"","DH.Season","DH.Name","DH.Team.x","DH.G","DH.AB","DH.PA","DH.H","DH.B1","DH.B2","DH.B3","DH.HR","DH.R","DH.RBI","DH.BB","DH.IBB","DH.SO","DH.HBP","DH.SF","DH.SH","DH.GDP","DH.SB","DH.CS","DH.AVG","DH.BB_perc","DH.K_perc","DH.ISO","DH.BABIP","DH.OBP","DH.SLG","DH.wOBA","DH.wRC.","DH.BsR","DH.Off","DH.WAR","DH.Team.y","DH.Position","DH.score","DH.perPA","DH.perAB"
"1",2023,"Byron Buxton","MIN",85,304,347,63,28,17,1,17,49,42,35,2,109,4,4,0,3,9,0,0.207,0.101,0.314,0.23,0.253,0.294,0.438,0.311,98,4.8,4,0.7,NA,"DH",161,0.463976945244957,0.529605263157895
"2",2023,"Daniel Vogelbach","NYM",104,275,319,64,43,8,0,13,33,48,42,1,81,2,0,0,6,0,0,0.233,0.132,0.254,0.171,0.282,0.339,0.404,0.327,109,-3.7,-0.2,0.1,NA,"DH",154,0.482758620689655,0.56
"3",2023,"Miguel Cabrera","DET",98,334,370,86,62,20,0,4,21,34,31,0,74,2,3,0,11,0,0,0.257,0.084,0.2,0.096,0.317,0.322,0.353,0.299,88,-4.9,-10.2,-0.8,NA,"DH",130,0.351351351351351,0.389221556886228
"4",2023,"Jesse Winker","MIL",61,166,197,33,27,5,0,1,16,23,26,0,51,4,1,0,0,0,0,0.199,0.132,0.259,0.048,0.278,0.32,0.247,0.269,65,-1.4,-9.9,-0.8,NA,"DH",55,0.279187817258883,0.331325301204819
"5",2023,"Nelson Cruz","SDP",49,143,152,35,24,5,1,5,9,23,6,1,46,2,1,0,2,1,0,0.245,0.039,0.303,0.154,0.323,0.283,0.399,0.291,85,0.2,-2.6,-0.2,NA,"DH",51,0.335526315789474,0.356643356643357
"6",2023,"Brad Miller","TEX",27,56,67,12,7,4,0,1,8,6,10,0,11,0,1,0,1,0,0,0.214,0.149,0.164,0.125,0.244,0.328,0.339,0.3,87,-0.1,-1.2,-0.1,NA,"DH",32,0.477611940298507,0.571428571428571
"7",2023,"Darin Ruf","2 Tms",20,49,57,11,8,3,0,0,3,3,8,0,16,0,0,0,0,0,0,0.224,0.14,0.281,0.061,0.333,0.333,0.286,0.287,79,0.2,-1.3,-0.1,NA,"DH",12,0.210526315789474,0.244897959183673
"8",2023,"Alexander Canario","CHC",6,17,17,5,2,1,1,1,1,6,0,0,8,0,0,0,0,0,0,0.294,0,0.471,0.353,0.5,0.294,0.647,0.387,146,-1.2,-0.3,-0.1,NA,"DH",10,0.588235294117647,0.588235294117647
"9",2023,"Tommy La Stella","SEA",12,21,24,4,3,1,0,0,2,2,3,0,5,0,0,0,0,0,0,0.19,0.125,0.208,0.048,0.25,0.292,0.238,0.249,58,-0.5,-1.8,-0.2,NA,"DH",7,0.291666666666667,0.333333333333333
"10",2023,"Edwin Ríos","CHC",18,28,34,2,0,1,0,1,3,2,5,0,16,1,0,0,0,0,0,0.071,0.147,0.471,0.143,0.091,0.235,0.214,0.219,33,0,-2.9,-0.3,NA,"DH",0,0,0
"11",2023,"Cooper Hummel","SEA",10,23,26,2,1,1,0,0,2,0,2,0,9,1,0,0,1,1,0,0.087,0.077,0.346,0.043,0.143,0.192,0.13,0.163,-2,-0.3,-3.5,-0.3,NA,"DH",-1,-0.0384615384615385,-0.0434782608695652
"12",2023,"Kyle Lewis","ARI",16,51,54,8,5,2,0,1,2,2,3,0,21,0,0,0,0,0,0,0.157,0.056,0.389,0.098,0.241,0.204,0.255,0.204,21,0.2,-5,-0.4,NA,"DH",-1,-0.0185185185185185,-0.0196078431372549
"13",2023,"Abraham Almonte","NYM",8,15,16,1,0,1,0,0,1,0,1,0,8,0,0,0,0,0,0,0.067,0.063,0.5,0.067,0.143,0.125,0.133,0.121,-29,0,-2.6,-0.3,NA,"DH",-4,-0.25,-0.266666666666667
