name,n1,n2,team,opp
Orlando Arcia,FA,,NYM,12:20 PM (Severino)
Orlando Arcia,,,,
AtlSS,,,,
Brett Baty,FA,,@Atl,12:20 PM (Fried)
Brett Baty,,,,
NYM3B,,,,
Jarred Kelenic,FA,,NYM,12:20 PM (Severino)
Jarred Kelenic,,,,
AtlOF,,,,
JJ Bleday,FA,,@Tex,2:35 PM (Gray)
JJ Bleday,,,,
OakOF,,,,
Michael A. Taylor,FA,,@Phi,6:40 PM (Suarez)
Michael Taylor,,,,
PitOF,,,,
Gio Urshela,FA,,Min,1:10 PM (Lopez)
Gio Urshela,,,,
"Det3B, 1B",,,,
MJ Melendez,FA,,Hou,2:10 PM (Brown)
MJ Melendez,,,,
KCOF,,,,
Sal Frelick,FA,,@Cin,1:10 PM (Martinez)
Sal Frelick,,,,
MilOF,,,,
Starling Marte,WA (Thu),,@Atl,12:20 PM (Fried)
Starling Marte,,,,
NYMOF,,,,
Brandon Marsh,FA,,Pit,6:40 PM (Jones)
Brandon Marsh,,,,
PhiOF,,,,
Jared Walsh,FA,,Oak,2:35 PM (Sears)
Jared Walsh,,,,
Tex1B,,,,
Jared Triolo,FA,,@Phi,6:40 PM (Suarez)
Jared Triolo,,,,
"Pit3B, 2B",,,,
Zack Gelof,FA,,@Tex,2:35 PM (Gray)
Zack Gelof,,,,
Oak2B,,,,
Maikel Garcia,FA,,Hou,2:10 PM (Brown)
Maikel Garcia,,,,
KC3B,,,,
Nelson Velazquez,FA,,Hou,2:10 PM (Brown)
Nelson Velazquez,,,,
KCOF,,,,
Jake Fraley,FA,,Mil,1:10 PM (Peralta)
Jake Fraley,,,,
"CinOF, DH",,,,
Spencer Torkelson,WA (Thu),,Min,1:10 PM (Lopez)
Spencer Torkelson,,,,
Det1B,,,,
Francisco Alvarez,FA,,@Atl,12:20 PM (Fried)
Francisco Alvarez,,,,
NYMC,,,,
Will Benson,FA,,Mil,1:10 PM (Peralta)
Will Benson,,,,
CinOF,,,,
Edward Olivares,FA,,@Phi,6:40 PM (Suarez)
Edward Olivares,,,,
"PitOF, DH",,,,
J.D. Davis,FA,,@Tex,2:35 PM (Gray)
J.D. Davis,,,,
Oak3B,,,,
Rowdy Tellez,FA,,@Phi,6:40 PM (Suarez)
Rowdy Tellez,,,,
"Pit1B, DH",,,,
Byron Buxton,FA,,@Det,1:10 PM (Skubal)
Byron Buxton,,,,
MinDH,,,,
Christian Encarnacion-Strand,FA,,Mil,1:10 PM (Peralta)
Christian Encarnacion-Strand,,,,
"Cin1B, DH",,,,
Colt Keith,FA,,Min,1:10 PM (Lopez)
Colt Keith,,,,
"Det3B, 2B",,,,
Jack Suwinski,FA,,@Phi,6:40 PM (Suarez)
Jack Suwinski,,,,
PitOF,,,,
Shea Langeliers,FA,,@Tex,2:35 PM (Gray)
Shea Langeliers,,,,
OakC,,,,
Reese McGuire,FA,,Bal,7:10 PM (Rodriguez)
Reese McGuire,,,,
BosC,,,,
Tyrone Taylor,FA,,@Atl,12:20 PM (Fried)
Tyrone Taylor,,,,
NYMOF,,,,
Josh Smith,FA,,Oak,2:35 PM (Sears)
Josh Smith,,,,
"TexSS, 3B, OF",,,,
Oliver Dunn,FA,,@Cin,1:10 PM (Martinez)
Oliver Dunn,,,,
Mil2B,,,,
Jeimer Candelario,FA,,Mil,1:10 PM (Peralta)
Jeimer Candelario,,,,
"Cin3B, 1B",,,,
Josh Jung,FA,,Oak,2:35 PM (Sears)
Josh JungIL60,,,,
Tex3B,,,,
Leody Taveras,FA,,Oak,2:35 PM (Sears)
Leody Taveras,,,,
TexOF,,,,
Ceddanne Rafaela,FA,,Bal,7:10 PM (Rodriguez)
Ceddanne Rafaela,,,,
BosOF,,,,
Trevor Story,FA,,Bal,7:10 PM (Rodriguez)
Trevor StoryIL10,,,,
BosSS,,,,
Ryan O'Hearn,FA,,@Bos,7:10 PM (Whitlock)
Ryan O'Hearn,,,,
"Bal1B, OF",,,,
Matt Vierling,FA,,Min,1:10 PM (Lopez)
Matt Vierling,,,,
"DetOF, 3B",,,,
Kyle Isbel,FA,,Hou,2:10 PM (Brown)
Kyle Isbel,,,,
KCOF,,,,
Ryan Noda,FA,,@Tex,2:35 PM (Gray)
Ryan Noda,,,,
Oak1B,,,,
Colton Cowser,FA,,@Bos,7:10 PM (Whitlock)
Colton Cowser,,,,
BalOF,,,,
Nick Castellanos,FA,,Pit,6:40 PM (Jones)
Nick Castellanos,,,,
PhiOF,,,,
Kerry Carpenter,FA,,Min,1:10 PM (Lopez)
Kerry Carpenter,,,,
"DetOF, DH",,,,
Brent Rooker,FA,,@Tex,2:35 PM (Gray)
Brent RookerDTD,,,,
"OakOF, DH",,,,
Jordan Westburg,FA,,@Bos,7:10 PM (Whitlock)
Jordan Westburg,,,,
"Bal2B, 3B",,,,
Travis d'Arnaud,FA,,NYM,12:20 PM (Severino)
Travis d'Arnaud,,,,
AtlC,,,,
Carson Kelly,FA,,Min,1:10 PM (Lopez)
Carson Kelly,,,,
DetC,,,,
Nick Allen,FA,,@Tex,2:35 PM (Gray)
Nick Allen,,,,
OakSS,,,,
Stuart Fairchild,FA,,Mil,1:10 PM (Peralta)
Stuart Fairchild,,,,
CinOF,,,,
Hunter Renfroe,FA,,Hou,2:10 PM (Brown)
Hunter Renfroe,,,,
KCOF,,,,
